Angular Velocity (rad/s),Volumetric Flowrate (m3/s),Region,Volumetric Flowrate (ml/min)
200,7.86E-06,1,471.600
200,9.42E-06,2,565.200
200,8.75E-06,3,525.000
200,6.70E-06,4,402.000
200,0.00003273,5,1963.800
175,6.48E-06,1,388.800
175,5.57E-06,2,334.200
175,5.89E-06,3,353.400
175,5.05E-06,4,303.000
175,2.30E-05,5,1379.400
150,5.54E-06,1,332.400
150,4.75E-06,2,285.000
150,4.32E-06,3,259.200
150,5.05E-06,4,303.000
150,1.97E-05,5,1179.600
125,4.63E-06,1,277.800
125,3.94E-06,2,236.400
125,4.20E-06,3,252.000
125,3.58E-06,4,214.800
125,0.00001635,5,981.000
100,3.67E-06,1,220.200
100,3.09E-06,2,185.400
100,3.31E-06,3,198.600
100,2.81E-06,4,168.600
100,0.00001288,5,772.800
75,2.69E-06,1,161.400
75,2.27E-06,2,136.200
75,2.41E-06,3,144.600
75,2.03E-06,4,121.800
75,9.40E-06,5,564.000
50,1.72E-06,1,103.200
50,1.45E-06,2,87.000
50,1.51E-06,3,90.600
50,1.26E-06,4,75.600
50,0.00000594,5,356.400
25,7.10E-07,1,42.600
25,5.91E-07,2,35.460
25,5.97E-07,3,35.820
25,4.83E-07,4,28.980
25,2.38E-06,5,142.860
0,0.00E+00,1,0.000
0,0.00E+00,2,0.000
0,0.00E+00,3,0.000
0,0.00E+00,4,0.000
0,0.00E+00,5,0.000